step,forecast,lower_ci,upper_ci,weight_linear,weight_holt,weight_arima
1,127.29,96.34,158.24,0.124,0.524,0.352
2,126.07,93.8,158.35,0.124,0.524,0.352
3,124.85,91.19,158.51,0.124,0.524,0.352
4,123.63,88.53,158.73,0.124,0.524,0.352
5,122.41,85.82,159.0,0.124,0.524,0.352
6,121.19,83.07,159.3,0.124,0.524,0.352
7,119.97,80.29,159.64,0.124,0.524,0.352
8,118.74,77.47,160.02,0.124,0.524,0.352
9,117.52,74.62,160.42,0.124,0.524,0.352
10,116.3,71.75,160.85,0.124,0.524,0.352
11,115.08,68.86,161.3,0.124,0.524,0.352
12,113.86,65.94,161.77,0.124,0.524,0.352
